"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","total_monthly_quota","organization","repository","cost_center_name","aic_quantity","aic_gross_amount"
"2026-06-09","federico-chiesa_fc","copilot","copilot_ai_credit","Left Winger","216,6505","ai-credits","0,01","2,166505","2,166505","0","1500","FutbolCorp","","Porto","216,6505","2,166505"
"2026-06-05","marcus-rashford_fc","copilot","copilot_ai_credit","Centre Back","444,2146","ai-credits","0,01","4,442146","4,442146","0","2500","FutbolCorp","","Liverpool","444,2146","4,442146"
"2026-06-04","marcus-rashford_fc","copilot","copilot_ai_credit","Right Back","268,7941","ai-credits","0,01","2,687941","2,687941","0","2500","FutbolCorp","","Chelsea","268,7941","2,687941"
"2026-06-04","kevin-debruyne_fc","copilot","copilot_ai_credit","Centre Back","272,3573","ai-credits","0,01","2,723573","2,723573","0","2500","FutbolCorp","","Juventus","272,3573","2,723573"
"2026-06-05","kylian-mbappe_fc","copilot","copilot_ai_credit","Sweeper","455,5929","ai-credits","0,01","4,555929","4,555929","0","2500","FutbolCorp","","Juventus","455,5929","4,555929"
"2026-06-04","toni-kroos_fc","copilot","copilot_ai_credit","Striker","235,8225","ai-credits","0,01","2,358225","2,358225","0","2500","FutbolCorp","","Liverpool","235,8225","2,358225"
"2026-06-05","kylian-mbappe_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","253,8615","ai-credits","0,01","2,538615","2,538615","0","1900","FutbolCorp","","Chelsea","253,8615","2,538615"
"2026-06-05","lamine-yamal_fc","copilot","copilot_ai_credit","Defensive Midfielder","85,0861","ai-credits","0,01","0,850861","0,850861","0","1500","FutbolCorp","","Benfica","85,0861","0,850861"
"2026-06-04","alisson-becker_fc","copilot","copilot_ai_credit","Right Winger","279,5538","ai-credits","0,01","2,795538","2,795538","0","1000","FutbolCorp","","Chelsea","279,5538","2,795538"
"2026-06-08","virgil-vandijk_fc","copilot","copilot_ai_credit","Right Winger","158,7271","ai-credits","0,01","1,587271","1,587271","0","2500","FutbolCorp","","Porto","158,7271","1,587271"
"2026-06-09","vinicius-junior_fc","copilot","copilot_ai_credit","Sweeper","291,1101","ai-credits","0,01","2,911101","2,911101","0","1500","FutbolCorp","","Liverpool","291,1101","2,911101"
"2026-06-02","ederson-moraes_fc","copilot","copilot_ai_credit","Left Back","443,8294","ai-credits","0,01","4,438294","4,438294","0","1500","FutbolCorp","","Benfica","443,8294","4,438294"
"2026-06-02","antoine-griezmann_fc","copilot","copilot_ai_credit","Goalkeeper","385,3598","ai-credits","0,01","3,853598","3,853598","0","2500","FutbolCorp","","Leicester City","385,3598","3,853598"
"2026-06-05","florian-wirtz_fc","copilot","copilot_ai_credit","Goalkeeper","252,0014","ai-credits","0,01","2,520014","2,520014","0","1500","FutbolCorp","","Manchester City","252,0014","2,520014"
"2026-06-02","erling-haaland_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","113,5589","ai-credits","0,01","1,135589","1,135589","0","1900","FutbolCorp","","Sevilla","113,5589","1,135589"
"2026-06-01","rodri-hernandez_fc","copilot","copilot_ai_credit","Centre Back","139,958","ai-credits","0,01","1,39958","1,39958","0","1500","FutbolCorp","","Juventus","139,958","1,39958"
"2026-06-01","lionel-messi_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","31,1851","ai-credits","0,01","0,311851","0,311851","0","1500","FutbolCorp","","Juventus","31,1851","0,311851"
"2026-06-08","alisson-becker_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","472,3598","ai-credits","0,01","4,723598","4,723598","0","1900","FutbolCorp","","Leicester City","472,3598","4,723598"
"2026-06-02","khvicha-kvaratskhelia_fc","copilot","copilot_ai_credit","Centre Back","173,3341","ai-credits","0,01","1,733341","1,733341","0","1000","FutbolCorp","","Leicester City","173,3341","1,733341"
"2026-06-09","kylian-mbappe_fc","copilot","copilot_ai_credit","Trequartista","112,767","ai-credits","0,01","1,12767","1,12767","0","1900","FutbolCorp","","Liverpool","112,767","1,12767"
"2026-06-03","harry-kane_fc","copilot","copilot_ai_credit","Goalkeeper","486,0152","ai-credits","0,01","4,860152","4,860152","0","2500","FutbolCorp","","Borussia Dortmund","486,0152","4,860152"
"2026-06-02","vinicius-junior_fc","copilot","copilot_ai_credit","Second Striker","281,4833","ai-credits","0,01","2,814833","2,814833","0","1000","FutbolCorp","","AC Milan","281,4833","2,814833"
"2026-06-05","antoine-griezmann_fc","copilot","copilot_ai_credit","Left Winger","367,0115","ai-credits","0,01","3,670115","3,670115","0","1000","FutbolCorp","","Inter Milan","367,0115","3,670115"
"2026-06-02","bukayo-saka_fc","copilot","copilot_ai_credit","Second Striker","269,7553","ai-credits","0,01","2,697553","2,697553","0","1500","FutbolCorp","","Benfica","269,7553","2,697553"
"2026-06-01","lamine-yamal_fc","copilot","copilot_ai_credit","False Nine","76,9194","ai-credits","0,01","0,769194","0,769194","0","2500","FutbolCorp","","Roma","76,9194","0,769194"
"2026-06-04","kevin-debruyne_fc","copilot","copilot_ai_credit","Centre Back","25,4153","ai-credits","0,01","0,254153","0,254153","0","1900","FutbolCorp","","Real Madrid","25,4153","0,254153"
"2026-06-02","vinicius-junior_fc","copilot","copilot_ai_credit","Goalkeeper","208,3712","ai-credits","0,01","2,083712","2,083712","0","1000","FutbolCorp","","Bayern Munich","208,3712","2,083712"
"2026-06-08","bukayo-saka_fc","copilot","copilot_ai_credit","False Nine","73,2002","ai-credits","0,01","0,732002","0,732002","0","1000","FutbolCorp","","AC Milan","73,2002","0,732002"
"2026-06-05","vinicius-junior_fc","copilot","copilot_ai_credit","Right Back","454,0789","ai-credits","0,01","4,540789","4,540789","0","2500","FutbolCorp","","Sevilla","454,0789","4,540789"
"2026-06-09","harry-kane_fc","copilot","copilot_ai_credit","Left Winger","49,2883","ai-credits","0,01","0,492883","0,492883","0","2500","FutbolCorp","","Manchester City","49,2883","0,492883"
"2026-06-04","marcus-rashford_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","205,8873","ai-credits","0,01","2,058873","2,058873","0","1500","FutbolCorp","","Arsenal","205,8873","2,058873"
"2026-06-09","khvicha-kvaratskhelia_fc","copilot","copilot_ai_credit","Attacking Midfielder","62,1104","ai-credits","0,01","0,621104","0,621104","0","2500","FutbolCorp","","Porto","62,1104","0,621104"
"2026-06-05","lamine-yamal_fc","copilot","copilot_ai_credit","Attacking Midfielder","148,4213","ai-credits","0,01","1,484213","1,484213","0","1900","FutbolCorp","","Porto","148,4213","1,484213"
"2026-06-02","jude-bellingham_fc","copilot","copilot_ai_credit","Trequartista","283,3981","ai-credits","0,01","2,833981","2,833981","0","1500","FutbolCorp","","Bayern Munich","283,3981","2,833981"
"2026-06-05","victor-osimhen_fc","copilot","copilot_ai_credit","Striker","193,8512","ai-credits","0,01","1,938512","1,938512","0","1900","FutbolCorp","","Roma","193,8512","1,938512"
"2026-06-09","marcus-rashford_fc","copilot","copilot_ai_credit","Goalkeeper","220,3344","ai-credits","0,01","2,203344","2,203344","0","2500","FutbolCorp","","AC Milan","220,3344","2,203344"
"2026-06-05","rafael-leao_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","154,0573","ai-credits","0,01","1,540573","1,540573","0","1900","FutbolCorp","","Ajax","154,0573","1,540573"
"2026-06-01","neymar-jr_fc","copilot","copilot_ai_credit","Second Striker","164,4544","ai-credits","0,01","1,644544","1,644544","0","1500","FutbolCorp","","PSG","164,4544","1,644544"
"2026-06-03","lionel-messi_fc","copilot","copilot_ai_credit","Second Striker","165,8057","ai-credits","0,01","1,658057","1,658057","0","1000","FutbolCorp","","Bayern Munich","165,8057","1,658057"
"2026-06-01","jude-bellingham_fc","copilot","copilot_ai_credit","Sweeper","48,5483","ai-credits","0,01","0,485483","0,485483","0","2500","FutbolCorp","","Manchester City","48,5483","0,485483"
"2026-06-01","lionel-messi_fc","copilot","copilot_ai_credit","Left Back","373,1855","ai-credits","0,01","3,731855","3,731855","0","1900","FutbolCorp","","Roma","373,1855","3,731855"
"2026-06-08","neymar-jr_fc","copilot","copilot_ai_credit","Right Winger","393,9411","ai-credits","0,01","3,939411","3,939411","0","1000","FutbolCorp","","Leicester City","393,9411","3,939411"
"2026-06-02","khvicha-kvaratskhelia_fc","copilot","copilot_ai_credit","False Nine","422,8031","ai-credits","0,01","4,228031","4,228031","0","1000","FutbolCorp","","Chelsea","422,8031","4,228031"
"2026-06-08","florian-wirtz_fc","copilot","copilot_ai_credit","Right Winger","419,5836","ai-credits","0,01","4,195836","4,195836","0","1000","FutbolCorp","","Juventus","419,5836","4,195836"
"2026-06-09","robert-lewandowski_fc","copilot","copilot_ai_credit","Trequartista","472,6151","ai-credits","0,01","4,726151","4,726151","0","1500","FutbolCorp","","Juventus","472,6151","4,726151"
"2026-06-09","antoine-griezmann_fc","copilot","copilot_ai_credit","Defensive Midfielder","4,4296","ai-credits","0,01","0,044296","0,044296","0","1900","FutbolCorp","","Leicester City","4,4296","0,044296"
"2026-06-01","ederson-moraes_fc","copilot","copilot_ai_credit","Centre Back","438,4704","ai-credits","0,01","4,384704","4,384704","0","2500","FutbolCorp","","Juventus","438,4704","4,384704"
"2026-06-08","rafael-leao_fc","copilot","copilot_ai_credit","Right Back","376,3418","ai-credits","0,01","3,763418","3,763418","0","1500","FutbolCorp","","Leicester City","376,3418","3,763418"
"2026-06-01","cristiano-ronaldo_fc","copilot","copilot_ai_credit","Right Back","221,195","ai-credits","0,01","2,21195","2,21195","0","1900","FutbolCorp","","Napoli","221,195","2,21195"
"2026-06-05","bukayo-saka_fc","copilot","copilot_ai_credit","Left Winger","428,4581","ai-credits","0,01","4,284581","4,284581","0","1500","FutbolCorp","","Arsenal","428,4581","4,284581"
"2026-06-01","lionel-messi_fc","copilot","copilot_ai_credit","Right Winger","48,7656","ai-credits","0,01","0,487656","0,487656","0","1500","FutbolCorp","","Benfica","48,7656","0,487656"
"2026-06-09","pedri-gonzalez_fc","copilot","copilot_ai_credit","Striker","470,2943","ai-credits","0,01","4,702943","4,702943","0","1500","FutbolCorp","","Liverpool","470,2943","4,702943"
"2026-06-04","federico-chiesa_fc","copilot","copilot_ai_credit","Defensive Midfielder","229,7452","ai-credits","0,01","2,297452","2,297452","0","1500","FutbolCorp","","Barcelona","229,7452","2,297452"
"2026-06-05","ederson-moraes_fc","copilot","copilot_ai_credit","False Nine","313,2621","ai-credits","0,01","3,132621","3,132621","0","2500","FutbolCorp","","Arsenal","313,2621","3,132621"
"2026-06-03","kevin-debruyne_fc","copilot","copilot_ai_credit","Striker","366,952","ai-credits","0,01","3,66952","3,66952","0","2500","FutbolCorp","","Porto","366,952","3,66952"
"2026-06-02","pedri-gonzalez_fc","copilot","copilot_ai_credit","Right Winger","113,2277","ai-credits","0,01","1,132277","1,132277","0","1900","FutbolCorp","","Borussia Dortmund","113,2277","1,132277"
"2026-06-09","lamine-yamal_fc","copilot","copilot_ai_credit","Second Striker","55,0669","ai-credits","0,01","0,550669","0,550669","0","1000","FutbolCorp","","Borussia Dortmund","55,0669","0,550669"
"2026-06-08","federico-chiesa_fc","copilot","copilot_ai_credit","Right Winger","331,6194","ai-credits","0,01","3,316194","3,316194","0","1000","FutbolCorp","","Roma","331,6194","3,316194"
"2026-06-08","ederson-moraes_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","173,3018","ai-credits","0,01","1,733018","1,733018","0","2500","FutbolCorp","","Inter Milan","173,3018","1,733018"
"2026-06-01","toni-kroos_fc","copilot","copilot_ai_credit","Trequartista","118,6593","ai-credits","0,01","1,186593","1,186593","0","2500","FutbolCorp","","Chelsea","118,6593","1,186593"
"2026-06-04","virgil-vandijk_fc","copilot","copilot_ai_credit","Central Midfielder","372,7563","ai-credits","0,01","3,727563","3,727563","0","1500","FutbolCorp","","PSG","372,7563","3,727563"
"2026-06-08","antoine-griezmann_fc","copilot","copilot_ai_credit","Central Midfielder","140,2345","ai-credits","0,01","1,402345","1,402345","0","2500","FutbolCorp","","Manchester City","140,2345","1,402345"
"2026-06-02","lionel-messi_fc","copilot","copilot_ai_credit","False Nine","212,1316","ai-credits","0,01","2,121316","2,121316","0","1900","FutbolCorp","","Barcelona","212,1316","2,121316"
"2026-06-08","kevin-debruyne_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","22,7741","ai-credits","0,01","0,227741","0,227741","0","1900","FutbolCorp","","Chelsea","22,7741","0,227741"
"2026-06-04","kylian-mbappe_fc","copilot","copilot_ai_credit","Defensive Midfielder","310,2049","ai-credits","0,01","3,102049","3,102049","0","1000","FutbolCorp","","Atletico Madrid","310,2049","3,102049"
"2026-06-01","bukayo-saka_fc","copilot","copilot_ai_credit","Attacking Midfielder","136,6453","ai-credits","0,01","1,366453","1,366453","0","1500","FutbolCorp","","Leicester City","136,6453","1,366453"
"2026-06-04","marcus-rashford_fc","copilot","copilot_ai_credit","Central Midfielder","234,1698","ai-credits","0,01","2,341698","2,341698","0","1000","FutbolCorp","","Bayern Munich","234,1698","2,341698"
"2026-06-08","luka-modric_fc","copilot","copilot_ai_credit","Trequartista","165,0768","ai-credits","0,01","1,650768","1,650768","0","2500","FutbolCorp","","Real Madrid","165,0768","1,650768"
"2026-06-09","khvicha-kvaratskhelia_fc","copilot","copilot_ai_credit","Left Back","233,9877","ai-credits","0,01","2,339877","2,339877","0","1900","FutbolCorp","","Atletico Madrid","233,9877","2,339877"
"2026-06-02","phil-foden_fc","copilot","copilot_ai_credit","Right Back","313,0541","ai-credits","0,01","3,130541","3,130541","0","2500","FutbolCorp","","Bayern Munich","313,0541","3,130541"
"2026-06-03","khvicha-kvaratskhelia_fc","copilot","copilot_ai_credit","Striker","311,7557","ai-credits","0,01","3,117557","3,117557","0","2500","FutbolCorp","","Juventus","311,7557","3,117557"
"2026-06-01","kylian-mbappe_fc","copilot","copilot_ai_credit","Sweeper","288,9031","ai-credits","0,01","2,889031","2,889031","0","1500","FutbolCorp","","Manchester City","288,9031","2,889031"
"2026-06-03","victor-osimhen_fc","copilot","copilot_ai_credit","Goalkeeper","256,0254","ai-credits","0,01","2,560254","2,560254","0","1000","FutbolCorp","","PSG","256,0254","2,560254"
"2026-06-02","harry-kane_fc","copilot","copilot_ai_credit","Right Back","403,1353","ai-credits","0,01","4,031353","4,031353","0","1500","FutbolCorp","","Real Madrid","403,1353","4,031353"
"2026-06-04","pedri-gonzalez_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","485,0344","ai-credits","0,01","4,850344","4,850344","0","1900","FutbolCorp","","Napoli","485,0344","4,850344"
"2026-06-03","federico-chiesa_fc","copilot","copilot_ai_credit","Trequartista","434,7028","ai-credits","0,01","4,347028","4,347028","0","1500","FutbolCorp","","Napoli","434,7028","4,347028"
"2026-06-09","pedri-gonzalez_fc","copilot","copilot_ai_credit","Goalkeeper","467,881","ai-credits","0,01","4,67881","4,67881","0","1000","FutbolCorp","","Inter Milan","467,881","4,67881"
"2026-06-09","ederson-moraes_fc","copilot","copilot_ai_credit","Sweeper","214,4567","ai-credits","0,01","2,144567","2,144567","0","1500","FutbolCorp","","Barcelona","214,4567","2,144567"
"2026-06-04","rodri-hernandez_fc","copilot","copilot_ai_credit","Goalkeeper","395,9231","ai-credits","0,01","3,959231","3,959231","0","2500","FutbolCorp","","Atletico Madrid","395,9231","3,959231"
"2026-06-04","thibaut-courtois_fc","copilot","copilot_ai_credit","Left Winger","164,0118","ai-credits","0,01","1,640118","1,640118","0","1900","FutbolCorp","","Bayern Munich","164,0118","1,640118"
"2026-06-04","pedri-gonzalez_fc","copilot","copilot_ai_credit","Sweeper","469,4835","ai-credits","0,01","4,694835","4,694835","0","1500","FutbolCorp","","Real Madrid","469,4835","4,694835"
"2026-06-04","rafael-leao_fc","copilot","copilot_ai_credit","Striker","49,8516","ai-credits","0,01","0,498516","0,498516","0","2500","FutbolCorp","","Borussia Dortmund","49,8516","0,498516"
"2026-06-08","bukayo-saka_fc","copilot","copilot_ai_credit","Central Midfielder","23,5179","ai-credits","0,01","0,235179","0,235179","0","1900","FutbolCorp","","Chelsea","23,5179","0,235179"
"2026-06-08","khvicha-kvaratskhelia_fc","copilot","copilot_ai_credit","Right Winger","183,639","ai-credits","0,01","1,83639","1,83639","0","1000","FutbolCorp","","Roma","183,639","1,83639"
"2026-06-03","jude-bellingham_fc","copilot","copilot_ai_credit","Striker","44,836","ai-credits","0,01","0,44836","0,44836","0","1500","FutbolCorp","","PSG","44,836","0,44836"
"2026-06-01","lionel-messi_fc","copilot","copilot_ai_credit","Striker","360,9112","ai-credits","0,01","3,609112","3,609112","0","1500","FutbolCorp","","Borussia Dortmund","360,9112","3,609112"
"2026-06-02","bukayo-saka_fc","copilot","copilot_ai_credit","False Nine","240,4485","ai-credits","0,01","2,404485","2,404485","0","1500","FutbolCorp","","Ajax","240,4485","2,404485"
"2026-06-04","luka-modric_fc","copilot","copilot_ai_credit","Goalkeeper","374,2854","ai-credits","0,01","3,742854","3,742854","0","1900","FutbolCorp","","Leicester City","374,2854","3,742854"
"2026-06-08","federico-chiesa_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","174,4913","ai-credits","0,01","1,744913","1,744913","0","1000","FutbolCorp","","Manchester City","174,4913","1,744913"
"2026-06-04","luka-modric_fc","copilot","copilot_ai_credit","Trequartista","38,2329","ai-credits","0,01","0,382329","0,382329","0","2500","FutbolCorp","","Barcelona","38,2329","0,382329"
"2026-06-05","robert-lewandowski_fc","copilot","copilot_ai_credit","Goalkeeper","270,9369","ai-credits","0,01","2,709369","2,709369","0","1900","FutbolCorp","","Manchester City","270,9369","2,709369"
"2026-06-08","rodri-hernandez_fc","copilot","copilot_ai_credit","Left Winger","252,5776","ai-credits","0,01","2,525776","2,525776","0","2500","FutbolCorp","","Bayern Munich","252,5776","2,525776"
"2026-06-08","casemiro_fc","copilot","copilot_ai_credit","Left Back","28,6685","ai-credits","0,01","0,286685","0,286685","0","1500","FutbolCorp","","Bayern Munich","28,6685","0,286685"
"2026-06-04","bukayo-saka_fc","copilot","copilot_ai_credit","Goalkeeper","256,26","ai-credits","0,01","2,5626","2,5626","0","1900","FutbolCorp","","Ajax","256,26","2,5626"
"2026-06-09","victor-osimhen_fc","copilot","copilot_ai_credit","Left Back","483,9857","ai-credits","0,01","4,839857","4,839857","0","1500","FutbolCorp","","Juventus","483,9857","4,839857"
"2026-06-05","florian-wirtz_fc","copilot","copilot_ai_credit","Second Striker","49,4463","ai-credits","0,01","0,494463","0,494463","0","1000","FutbolCorp","","Porto","49,4463","0,494463"
"2026-06-01","alisson-becker_fc","copilot","copilot_ai_credit","Trequartista","147,0498","ai-credits","0,01","1,470498","1,470498","0","1500","FutbolCorp","","Borussia Dortmund","147,0498","1,470498"
"2026-06-05","rodri-hernandez_fc","copilot","copilot_ai_credit","Striker","395,0983","ai-credits","0,01","3,950983","3,950983","0","1900","FutbolCorp","","Bayern Munich","395,0983","3,950983"
"2026-06-09","vinicius-junior_fc","copilot","copilot_ai_credit","False Nine","69,3909","ai-credits","0,01","0,693909","0,693909","0","1900","FutbolCorp","","Atletico Madrid","69,3909","0,693909"
"2026-06-08","pedri-gonzalez_fc","copilot","copilot_ai_credit","Goalkeeper","278,7377","ai-credits","0,01","2,787377","2,787377","0","2500","FutbolCorp","","Chelsea","278,7377","2,787377"
"2026-06-04","erling-haaland_fc","copilot","copilot_ai_credit","Striker","134,2499","ai-credits","0,01","1,342499","1,342499","0","1000","FutbolCorp","","Liverpool","134,2499","1,342499"
"2026-06-02","robert-lewandowski_fc","copilot","copilot_ai_credit","Defensive Midfielder","359,9179","ai-credits","0,01","3,599179","3,599179","0","1900","FutbolCorp","","Liverpool","359,9179","3,599179"
"2026-06-01","pedri-gonzalez_fc","copilot","copilot_ai_credit","Defensive Midfielder","121,2464","ai-credits","0,01","1,212464","1,212464","0","2500","FutbolCorp","","Porto","121,2464","1,212464"
"2026-06-02","ederson-moraes_fc","copilot","copilot_ai_credit","Defensive Midfielder","119,381","ai-credits","0,01","1,19381","1,19381","0","2500","FutbolCorp","","Atletico Madrid","119,381","1,19381"
"2026-06-09","cristiano-ronaldo_fc","copilot","copilot_ai_credit","Defensive Midfielder","354,3701","ai-credits","0,01","3,543701","3,543701","0","1500","FutbolCorp","","AC Milan","354,3701","3,543701"
"2026-06-08","federico-chiesa_fc","copilot","copilot_ai_credit","Sweeper","74,6702","ai-credits","0,01","0,746702","0,746702","0","1500","FutbolCorp","","Napoli","74,6702","0,746702"
"2026-06-08","cristiano-ronaldo_fc","copilot","copilot_ai_credit","Sweeper","353,6973","ai-credits","0,01","3,536973","3,536973","0","2500","FutbolCorp","","Real Madrid","353,6973","3,536973"
"2026-06-08","karim-benzema_fc","copilot","copilot_ai_credit","Left Winger","387,1882","ai-credits","0,01","3,871882","3,871882","0","1000","FutbolCorp","","Liverpool","387,1882","3,871882"
"2026-06-09","karim-benzema_fc","copilot","copilot_ai_credit","False Nine","277,8784","ai-credits","0,01","2,778784","2,778784","0","1000","FutbolCorp","","Barcelona","277,8784","2,778784"
"2026-06-01","antoine-griezmann_fc","copilot","copilot_ai_credit","Goalkeeper","219,6738","ai-credits","0,01","2,196738","2,196738","0","1900","FutbolCorp","","Real Madrid","219,6738","2,196738"
"2026-06-01","neymar-jr_fc","copilot","copilot_ai_credit","Goalkeeper","435,3062","ai-credits","0,01","4,353062","4,353062","0","2500","FutbolCorp","","Juventus","435,3062","4,353062"
"2026-06-02","lionel-messi_fc","copilot","copilot_ai_credit","Sweeper","176,1795","ai-credits","0,01","1,761795","1,761795","0","2500","FutbolCorp","","Arsenal","176,1795","1,761795"
"2026-06-05","karim-benzema_fc","copilot","copilot_ai_credit","Right Back","294,5088","ai-credits","0,01","2,945088","2,945088","0","1900","FutbolCorp","","Borussia Dortmund","294,5088","2,945088"
"2026-06-03","luka-modric_fc","copilot","copilot_ai_credit","Left Back","92,7217","ai-credits","0,01","0,927217","0,927217","0","1000","FutbolCorp","","AC Milan","92,7217","0,927217"
"2026-06-08","kylian-mbappe_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","471,7906","ai-credits","0,01","4,717906","4,717906","0","2500","FutbolCorp","","PSG","471,7906","4,717906"
"2026-06-01","rafael-leao_fc","copilot","copilot_ai_credit","Second Striker","222,9954","ai-credits","0,01","2,229954","2,229954","0","2500","FutbolCorp","","Arsenal","222,9954","2,229954"
"2026-06-04","victor-osimhen_fc","copilot","copilot_ai_credit","Defensive Midfielder","299,1861","ai-credits","0,01","2,991861","2,991861","0","1000","FutbolCorp","","Borussia Dortmund","299,1861","2,991861"
"2026-06-09","robert-lewandowski_fc","copilot","copilot_ai_credit","Goalkeeper","93,071","ai-credits","0,01","0,93071","0,93071","0","1000","FutbolCorp","","Chelsea","93,071","0,93071"
"2026-06-09","robert-lewandowski_fc","copilot","copilot_ai_credit","Striker","116,7667","ai-credits","0,01","1,167667","1,167667","0","1500","FutbolCorp","","Ajax","116,7667","1,167667"
"2026-06-08","cristiano-ronaldo_fc","copilot","copilot_ai_credit","Striker","490,1644","ai-credits","0,01","4,901644","4,901644","0","1900","FutbolCorp","","Juventus","490,1644","4,901644"
"2026-06-08","robert-lewandowski_fc","copilot","copilot_ai_credit","Striker","124,1995","ai-credits","0,01","1,241995","1,241995","0","2500","FutbolCorp","","Liverpool","124,1995","1,241995"
"2026-06-02","pedri-gonzalez_fc","copilot","copilot_ai_credit","Right Back","301,39","ai-credits","0,01","3,0139","3,0139","0","1900","FutbolCorp","","PSG","301,39","3,0139"
"2026-06-09","lionel-messi_fc","copilot","copilot_ai_credit","Defensive Midfielder","18,2768","ai-credits","0,01","0,182768","0,182768","0","1500","FutbolCorp","","Atletico Madrid","18,2768","0,182768"
"2026-06-01","luka-modric_fc","copilot","copilot_ai_credit","Right Winger","201,1564","ai-credits","0,01","2,011564","2,011564","0","2500","FutbolCorp","","Leicester City","201,1564","2,011564"
"2026-06-09","kylian-mbappe_fc","copilot","copilot_ai_credit","Left Back","417,4815","ai-credits","0,01","4,174815","4,174815","0","1000","FutbolCorp","","Ajax","417,4815","4,174815"
"2026-06-05","luka-modric_fc","copilot","copilot_ai_credit","Box-to-Box Midfielder","121,8539","ai-credits","0,01","1,218539","1,218539","0","1000","FutbolCorp","","AC Milan","121,8539","1,218539"
"2026-06-02","erling-haaland_fc","copilot","copilot_ai_credit","Right Winger","447,1717","ai-credits","0,01","4,471717","4,471717","0","1500","FutbolCorp","","AC Milan","447,1717","4,471717"
"2026-06-04","bukayo-saka_fc","copilot","copilot_ai_credit","False Nine","225,9397","ai-credits","0,01","2,259397","2,259397","0","1000","FutbolCorp","","Sevilla","225,9397","2,259397"
"2026-06-04","robert-lewandowski_fc","copilot","copilot_ai_credit","Defensive Midfielder","306,1028","ai-credits","0,01","3,061028","3,061028","0","1500","FutbolCorp","","Arsenal","306,1028","3,061028"
"2026-06-03","casemiro_fc","copilot","copilot_ai_credit","Right Back","353,6536","ai-credits","0,01","3,536536","3,536536","0","1900","FutbolCorp","","Inter Milan","353,6536","3,536536"
"2026-06-09","victor-osimhen_fc","copilot","copilot_ai_credit","Striker","19,6737","ai-credits","0,01","0,196737","0,196737","0","1900","FutbolCorp","","PSG","19,6737","0,196737"
"2026-06-05","bukayo-saka_fc","copilot","copilot_ai_credit","Second Striker","175,3156","ai-credits","0,01","1,753156","1,753156","0","1000","FutbolCorp","","Manchester City","175,3156","1,753156"
"2026-06-09","karim-benzema_fc","copilot","copilot_ai_credit","Attacking Midfielder","119,9421","ai-credits","0,01","1,199421","1,199421","0","2500","FutbolCorp","","Roma","119,9421","1,199421"
